id,name,email,roll_number,role,branch,degree,graduation_year,location,skills,interests,projects,certifications,career_goal,target_role,target_industry,bio,career_journey,is_synthetic,synthetic_fields,profile_completeness,updated_at
1,Karan Menon,karan.22com0001@hitam.org,22COM0001,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
2,Sneha Kulkarni,sneha.22inf0002@hitam.org,22INF0002,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
3,Arjun Mukherjee,arjun.22ele0003@hitam.org,22ELE0003,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
4,Riya Sen,riya.22cse0004@hitam.org,22CSE0004,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
5,Neha Reddy,neha.22cse0005@hitam.org,22CSE0005,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
6,Anjali Kumar,anjali.22cse0006@hitam.org,22CSE0006,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
7,Vikram Nair,vikram.22cse0007@hitam.org,22CSE0007,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
8,Amit Joshi,amit.22mec0008@hitam.org,22MEC0008,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
9,Rahul Chatterjee,rahul.22ele0009@hitam.org,22ELE0009,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
10,Priya Das,priya.22civ0010@hitam.org,22CIV0010,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
